,BCA-G,CRC-1-G,CRC-2-G,BCA-G,CRC-1-G,CRC-2-G
TMD,0.584615385,1.292307692,20.04615385,1.046153846,1.630769231,16.04615385
Filtering_Strategy,Germline,Germline,Germline,Filtering_Pipeline,Filtering_Pipeline,Filtering_Pipeline
